Name,Grade,Action,Industry,Country,Ownership
Akamai,Suspension,suspend sales in Russia,Information Technology,United States,
Akin Gump,Suspension,suspend operations in Russia,Industrials,United States,
AL-KO Vehicle Technology,Suspension,suspend deliveries to Russia and Belarus,Consumer Discretionary,Germany,
Alaska Airlines,Suspension,temporarily suspend partnership with Russian airline,Industrials,United States,
Alimentation Couche-Tard,Suspension,suspend operations,Consumer Staples,Canada,
Alstom,Suspension,suspend shipments to Russia,Industrials,France,
AM Best,Suspension,suspend all commercial activities to Russian clients,Information Technology,United States,
Amazon,Suspension,suspend operations in Russia,Consumer Discretionary,United States,
Ambarella,Suspension,suspend shipments into Russia,Information Technology,United States,
AMD,Suspension,suspend all sales to Russia,Information Technology,United States,
Amdocs,Suspension,stop all new sales of product and services in Russia,Information Technology,United States,
Amer Sports,Suspension,Intention to discontinue business in Russia,Consumer Discretionary,Finland,
American Express,Suspension,suspend operations in Russia,Financials,United States,
Amica,Suspension,suspended Russian exports,Consumer Discretionary,Poland,
Analog Devices,Suspension,suspend sales to Russia according to sanctions,Information Technology,United States,
Ansys,Suspension,suspend all sales and business activity,Information Technology,United States,
Aon PLC,Suspension,suspend operations in Russia,Financials,United Kingdom,
Apple,Suspension,suspend all official site sales; turn off select apps and services,Information Technology,United States,
Arla,Suspension,suspends all operations,Consumer Staples,Denmark,
ARM,Suspension,suspend shipments according to sanctions,Information Technology,United Kingdom,
Asian Infrastructure Investment Bank,Suspension,curtail Russian access to capital markets,Financials,China,
Asos,Suspension,suspend all shipments to Russia,Consumer Discretionary,United Kingdom,
Association of International Certified Professional Accountants,Suspension,indefinite suspension of services within Russia,Industrials,United States,
Aston Martin,Suspension,suspend all shipments to Russia,Consumer Discretionary,United Kingdom,
Asus,Suspension,suspend shipments to Russia,Information Technology,Taiwan,
Atlas Copco,Suspension,suspend deliveries in Russia,Industrials,Sweden,
Atlassian,Suspension,Suspended software sales to Russia,Information Technology,Australia,
Audi,Suspension,suspend operations at Kaluga assembly plant,Consumer Discretionary,Germany,
Australia Post,Suspension,Suspend all business with Russia,Communication Services,Australia,
Austrian Airlines,Suspension,Cancel Russian flights until July,Industrials,Austria,
Authentic Brands Group - Reebok,Suspension,successfully completed suspension of all operations,Consumer Discretionary,United States,
Autodesk,Suspension,suspend operations in Russia,Information Technology,United States,
Avast,Suspension,suspend all operations in Russia,Information Technology,Czech Republic,
AXA,Suspension,stop underwriting new insurance & stop renewals,Financials,France,
AXA Investments Managers,Suspension,pause investments & prohibit new subscriptions,Financials,France,
Axis Communication,Suspension,Suspend all product shipments to Russia,Consumer Discretionary,Sweden,
Azerbaijan Airlines,Suspension,suspend flights to Russia,Industrials,Azerbaijan,
B Lab,Suspension,suspend Russian companies from obtaining certifications,NGO,United States,
Badminton World Federation,Suspension,cancel all tournaments,NGO,Malaysia,
Bain,Suspension,suspend consulting for all Russian businesses,Industrials,United States,
Bang & Olufsen,Suspension,suspended deliveries and sales to Russia,Information Technology,Denmark,
Bank of China,Suspension,curtail Russian access to capital markets,Financials,China,
BCG,Suspension,suspend operations; Moscow office open,Industrials,United States,
Bentley,Suspension,suspend all shipments to Russia,Consumer Discretionary,United States,
Big Fish Games,Suspension,suspend downloadable game business in Russia,Communication Services,United States,
Bitdefender,Suspension,suspend all sales to Russia,Information Technology,Romania,
BlackBerry,Suspension,cease all activities in Russia,Information Technology,Canada,
BMC,Suspension,suspend all business with Russia & Belarus,Information Technology,United States,
BMW,Suspension,suspend exports to and production in Russia,Consumer Discretionary,Germany,
BNP Paribas,Suspension,suspend new business in Russia/curtail financing,Financials,France,
Boeing,Suspension,suspend operations in Russia/titanium purchases,Industrials,United States,
Bombardier,Suspension,restrict Russian business,Industrials,Canada,Private
Boohoo Group,Suspension,suspend all shipments to Russia,Consumer Discretionary,United Kingdom,
Boosteroid Cloud Gaming,Suspension,suspend services to Russia,Information Technology,United Arab Emirates,
Boryszew,Suspension,suspended operations in Russia,Materials,Poland,
Brav,Suspension,suspend sales and operations in Russia,Consumer Discretionary,Norway,
Bridgestone Tire,Suspension,suspend manufacturing in Russia and shipments into,Consumer Discretionary,Japan,
Brinks,Suspension,Suspended business in Russia,Consumer Discretionary,United States,
British Airways,Suspension,cancel Russian flights,Industrials,United Kingdom,
Brown-Forman,Suspension,suspend commercial operations in Russia,Consumer Staples,United States,
Brunico Communications,Suspension,Put all business with Russia on hold,Communication Services,Canada,
BUDVAR Centrum Sp. z.o.o.,Suspension,Suspended Activity,Industrials,Poland,
Budweiser Budvar,Suspension,suspends production and supply of beer,Consumer Staples,Czech Republic,
Bulgaria Air,Suspension,suspend flights to Russia,Industrials,Bulgaria,
Bulgarian Postbank,Suspension,stop operations in Russian ruble,Financials,Bulgaria,
bunq.com,Suspension,suspend SWIFT transfers to sanctioned banks,Financials,Netherlands,
Burberry,Suspension,suspend all shipments to Russia,Consumer Discretionary,United Kingdom,
Burger King (Restaurant Brands),Suspension,halt corporate support for franchises,Consumer Staples,United States,
Buta Airways,Suspension,suspend flights to Russia,Industrials,Azerbaijan,
Callaway Golf,Suspension,Suspended business in Russia,Consumer Discretionary,United States,
Canada Goose,Suspension,suspend all shipments to Russia,Consumer Discretionary,Canada,
Canadian Tire,Suspension,close Russia stores,Consumer Discretionary,Canada,
Canon,Suspension,suspend deliveries in Russia,Information Technology,Japan,
Canonical,Suspension,suspend support & professional services,Information Technology,United Kingdom,
Capgemini,Suspension,stop services to Russia,Information Technology,France,
Cargolux,Suspension,suspend all shipments into and through Russia,Industrials,Luxembourg,
Caterpillar,Suspension,suspend all operations,Industrials,United States,
CBRE,Suspension,discontinue Russian business,Real Estate,United States,
Ceratizit,Suspension,Stop all deliveries to Russia and Belarus. Still distributes through distributors,Industrials,Luxembourg,
Chemours,Suspension,Suspended business in Russia,Materials,United States,
Chevron,Suspension,"Pausing all transactions and sales of refining products, lubricants, and chemicals",Energy,United States,
Chipperfield,Suspension,suspend operations in Russia,Industrials,United Kingdom,
Chopard,Suspension,Suspend all Russian diamond purchases,Consumer Discretionary,Switzerland,
Cie Automotives,Suspension,temporarily shut down aluminum plant,Consumer Discretionary,Spain,
Ciena,Suspension,suspend business operations in Russia,Communication Services,United States,
Citi,Suspension,Ending nearly all its institutional banking services in Russia,Financials,United States,
Citrix,Suspension,suspend all sales to Russia,Information Technology,United States,
Cleary Gottlieb,Suspension,suspend Russian operations,Industrials,United States,
Clorox,Suspension,suspend business activity in Russia,Consumer Staples,United States,
Clutch,Suspension,suspend all business activity,Industrials,United States,
CME Group,Suspension,suspend acceptance of certain Russian commodities,Financials,United States,
CNH Industrial,Suspension,suspend sales to Russia,Industrials,United Kingdom,
Cogent Communications,Suspension,cut all internet to Russia,Communication Services,United States,
Columbia Sportswear,Suspension,pause taking any new orders from Russian distributor & remove future sales,Consumer Discretionary,United States,
Commerzbank,Suspension,suspend operations in Russia,Financials,Germany,
Conde Nast,Suspension,suspend all publishing operations,Communication Services,United States,
Conformis,Suspension,suspend distribution operations in Russia,Health Care,United States,
Costco,Suspension,stopped purchases from Russia,Consumer Discretionary,United States,
Coupa,Suspension,suspend operations in Russia,Information Technology,United States,
Coursera,Suspension,platform available; refrain from financial benefits from the region; suspend some content,Consumer Discretionary,United States,
Credit Agricole,Suspension,suspend all services in Russia,Financials,France,
Crocs,Suspension,suspend D2C business,Consumer Discretionary,United States,
Curve,Suspension,no longer allow Russian payment cards & transaction in RUB,Financials,United Kingdom,
Cyprus Airways,Suspension,suspend flights to Russia,Industrials,Cyprus,
d&b audiotechnik,Suspension,suspend all shipments to Russia,Consumer Discretionary,Germany,
DACHSER,Suspension,End all transports to Russia,Industrials,Germany,
DAF,Suspension,Suspend business in Russia,Consumer Discretionary,Netherlands,
Daimler Truck,Suspension,freeze activities in Russia,Consumer Discretionary,Germany,
Damen,Suspension,"stop supplying ships to Russia, halt new contracts",Industrials,Netherlands,
Danaher,Suspension,suspended shipments to Russia except for humanitarian medical products,Health Care,United States,
Danone,Suspension,Announced Transfer,Consumer Staples,France,
Danske Bank,Suspension,suspend operations in Russia,Financials,Denmark,
Dassault Aviation,Suspension,suspend all shipments to Russia,Industrials,France,
Dassault Systèmes,Suspension,suspend business operations in Russia,Information Technology,France,
Debevoise & Plimpton,Suspension,Wind down Russia operations; local partners and counsel open Russian business,Industrials,United States,
Decathlon,Suspension,suspend the operation of its stores in Russia,Consumer Discretionary,France,
Deckers,Suspension,suspend business in Russia,Consumer Discretionary,United States,
Demant,Suspension,suspend all trade with Russia,Health Care,Denmark,
Denso,Suspension,suspend all shipments into Russia,Consumer Discretionary,Japan,
Depositphotos,Suspension,stop all sales and services to Russia,Consumer Discretionary,Ukraine,
DHL,Suspension,suspend all shipments to Russia,Industrials,Germany,
Diadora,Suspension,suspend contracts with Russian commercial partners,Consumer Discretionary,Italy,
Diageo,Suspension,suspend all shipments to Russia,Consumer Staples,United Kingdom,
Diebold Nixdorf,Suspension,suspend shipments and sales of any kind into Russia.,Information Technology,United States,
DirecTV,Suspension,cut Kremlin backed TV networks,Communication Services,United States,
Discover,Suspension,suspend efforts to establish Russian presence,Communication Services,United States,
Discovery,Suspension,Suspend Russian access,Communication Services,United States,
Disney,Suspension,pause new content releases,Communication Services,United States,
DJI,Suspension,stop selling drones in Russia,Information Technology,China,
DKV Mobility,Suspension,stop all activity for Russian domestic business,Information Technology,Germany,
Dreamstime,Suspension,restrict download plans and payments for Russian customers,Communication Services,United States,
DSV A/S,Suspension,suspend all shipments to Russia,Industrials,Denmark,
DuPont,Suspension,suspend operations in Russia and Belarus,Materials,United States,
Dyson,Suspension,Suspend business in Russia,Consumer Discretionary,Singapore,
eBay,Suspension,suspend all shipments to Russia,Consumer Discretionary,United States,
ECFMG,Suspension,Suspend Russian certifications,Industrials,United States,
EDF,Suspension,suspend Moscow office,Utilities,France,
eDreams ODIGEO,Suspension,cease all operations involving Russia,Consumer Discretionary,Spain,
Edrington,Suspension,suspend all shipments to Russia,Consumer Staples,United Kingdom,
Egon Zehnder,Suspension,stop operations in Russia,Industrials,United States,
Electrolux,Suspension,suspending all shipments into Russia,Consumer Discretionary,Sweden,
Elsevier,Suspension,Winding down all operations in Russia,Communication Services,Netherlands,
Embraer,Suspension,suspend supplying parts and services to Russia,Industrials,Brazil,
Epiroc,Suspension,pause all deliveries to Russia and no operations domestically,Consumer Staples,Sweden,
Eppendorf SE,Suspension,suspend exports to Russia; keep rep office open,Health Care,Germany,
Epson,Suspension,suspend exports to Russia & Belarus,Consumer Discretionary,Japan,
Equinix,Suspension,suspend Russian partnerships and customers,Real Estate,United States,
Ericsson,Suspension,suspend all shipments to Russia,Information Technology,Sweden,
ESET,Suspension,suspend all sales to Russia,Information Technology,Slovakia,
Esri,Suspension,Suspending all sales of products and services.,Information Technology,United Kingdom,
Estee Lauder,Suspension,suspend operations in Russia,Consumer Staples,United States,
Etex,Suspension,Suspended business in Russia,Communication Services,Belgium,
Eurasian Resources Group,Suspension,Suspend substantively all Russian commodities purchases,Materials,Luxembourg,
European University Association,Suspension,cease cooperation with governmental agencies in Russia,NGO,Belgium,
Exiger,Suspension,halting all activity and due diligence in Russia,Industrials,United States,
Exor,Suspension,holding company's assets are suspending operations,Financials,Netherlands,
Famur,Suspension,suspend Russian exports,Industrials,Poland,
FANUC,Suspension,"Totally suspend all shipments, services and maintenance in Russia",Industrials,Japan,
Farfetch,Suspension,suspend all shipments to Russia,Consumer Discretionary,United Kingdom,
Fédération Internationale de Motocyclisme,Suspension,"ban Russian, Belarusian licence holders",NGO,Switzerland,
FedEx,Suspension,suspend all shipments to Russia,Industrials,United States,
Ferragamo,Suspension,suspend all shipments to Russia,Consumer Discretionary,Italy,
Ferrari,Suspension,suspend sales in Russia,Consumer Discretionary,Italy,
FIBA,Suspension,ban Russian teams and officials from participating in basketball events,NGO,Switzerland,
Fidelity,Suspension,Suspend trading of Russian securities,Financials,United States,
FIFA,Suspension,ban Russian athletes from competing,Industrials,Switzerland,
Finnlines,Suspension,suspend all traffic to Russia,Industrials,Finland,
Fitch,Suspension,suspend operations in Russia,Financials,United States,
Fiverr,Suspension,suspend business,Consumer Discretionary,Israel,
Forest Stewardship Council (FSC),Suspension,suspend all trading certificates in Russia & Belarus and block all controlled wood sourcing from the two countries,NGO,Germany,
Fortinet,Suspension,suspend operations in Russia,Information Technology,United States,
Foster + Partners,Suspension,stop work on projects in Russia,Industrials,United Kingdom,
Fujitsu,Suspension,cease orders and shipments to Russia,Information Technology,Japan,
Ganni,Suspension,freeze all trade with Russia,Consumer Discretionary,Denmark,
Gap Inc,Suspension,stopped shipments to franchisees in Russia,Consumer Discretionary,United States,
Gasum,Suspension,Suspend all purchases from Russia,Energy,Finland,
Generac,Suspension,Suspend all business in Russia,Industrials,United States,
Gestamp,Suspension,stopped production,Consumer Discretionary,Spain,
GetYourGuide,Suspension,suspend all Russian operations,Consumer Discretionary,Switzerland,
Glencore,Suspension,Suspend all trading of commodities of Russian origin,Materials,Switzerland,
Goodyear,Suspension,suspend shipments of tires to Russia,Consumer Discretionary,United States,
Grainpro,Suspension,suspend all operations in Russia,Materials,United States,
Grammarly,Suspension,block users located in Russia and Belarus from using products or services,Information Technology,United States,
Graphisoft,Suspension,"suspended new activities, disabled access to our commercial services in Russia",Information Technology,Hungary,
Grupa Azoty,Suspension,stopped exporting its products to Russia or Belarus,Materials,Poland,
Grupo Antolín,Suspension,suspend operations in Russia,Consumer Discretionary,Spain,
Grupo Bimbo,Suspension,"Suspended distribution of the Bimbo Brand at retail, but left Moscow Bimbo QSR plant operating for food service products",Consumer Staples,Mexico,
Hannover Re,Suspension,halt underwriting business,Financials,Germany,
Hapag Lloyd,Suspension,suspend all shipments to Russia,Industrials,Germany,
HARIBO,Suspension,suspend production to Russia,Consumer Staples,Germany,
Harley-Davidson,Suspension,suspending all business in Russia,Consumer Discretionary,United States,
Hasbro,Suspension,pause toy shipments of Russia,Consumer Discretionary,United States,
Heraeus,Suspension,stop goods and money flows to Russia,Industrials,Germany,
Herbalife,Suspension,suspend sales and shipments to Russia,Consumer Staples,United States,
Hermes,Suspension,suspend all operations in Russia,Consumer Discretionary,France,
Herzog & de Meuron,Suspension,suspend work on Russian projects,Industrials,Switzerland,
Hexagon,Suspension,freeze all business activities,Information Technology,Sweden,
HHLA,Suspension,suspend entry of Russian shipments at owned ports,Financials,Germany,
Hindalco,Suspension,suspend operations,Materials,India,
Hitachi Construction,Suspension,suspend all shipments to Russia,Industrials,Japan,
HMM,Suspension,suspend all shipments to Russia,Industrials,South Korea,
Honda,Suspension,suspend all shipments to Russia,Consumer Discretionary,Japan,
Honey Group,Suspension,suspend sales to Russia,Consumer Staples,Finland,
Hugo Boss,Suspension,temporarily close stores and e-commerce sites,Consumer Discretionary,Germany,
Hunkemoller,Suspension,suspend operations of on-site and online stores,Consumer Discretionary,Netherlands,
Husqvarna,Suspension,stop exports to Russia & halt investments,Consumer Discretionary,Sweden,
Hyundai,Suspension,suspend manufacturing in Russia,Consumer Discretionary,South Korea,
Iberia,Suspension,canceling flights to Russia,Industrials,Spain,
ICBC,Suspension,curtail Russian access to capital markets,Financials,China,
Icecat,Suspension,suspends activities for the Russian market,Industrials,Netherlands,
iHerb,Suspension,Suspend all Russian sales,Consumer Discretionary,United States,
Illinois Tool Works,Suspension,suspension of sales to Russia,Industrials,United States,
Indeed,Suspension,suspend service in Russia,Information Technology,United States,
Institute of Internal Auditors,Suspension,suspend business in Russia,Industrials,United States,
Intel,Suspension,suspend sales to Russia,Information Technology,United States,
Interactive Advertising Bureau,Suspension,suspend licensing in Russia and Belarus,Industrials,United States,
Intercomm Foods,Suspension,Stopping shipments to Russia,Consumer Staples,Greece,
International Canoe Federation,Suspension,suspend Russian athletes & relocate Russian events,NGO,Switzerland,
International Federation of Sport Climbing,Suspension,suspend Russian teams from participation; suspend Russian events,NGO,Italy,
International Tennis Federation,Suspension,suspend Russian partnerships,NGO,United Kingdom,
Intertek,Suspension,suspend operations,Industrials,United States,
Intuit,Suspension,suspend customer accounts,Information Technology,United States,
Isuzu,Suspension,Suspend business in Russia,Consumer Discretionary,Japan,
Jablotron,Suspension,halts sales and blocks data services to products assembled in  Russia,Consumer Discretionary,Czech Republic,
JCB,Suspension,pause business in Russia,Industrials,United Kingdom,
Johnson Controls,Suspension,suspend operations in Russia,Industrials,Ireland,
Julipedra,Suspension,suspended exports to Russia,Materials,Portugal,
Jungheinrich,Suspension,keep Russia office; stop exports to Russia,Industrials,Germany,
Juniper Networks,Suspension,suspend sales in Russia,Information Technology,United States,
Kärcher,Suspension,suspend exports to Russia & halt investments,Consumer Discretionary,Germany,
KBC Group,Suspension,suspend transactions with certain Russian banks,Financials,Belgium,
Kepenou Mills,Suspension,stop wheat orders from Russia,Consumer Staples,Greece,
Kering,Suspension,close all stores in Russia,Consumer Discretionary,France,
Kerry Group,Suspension,suspending operations,Consumer Staples,Ireland,
Kesko,Suspension,stop sales to Russia and imports from Russia,Consumer Staples,Finland,
KGHM,Suspension,"suspended Russian contracts, subsidiary ZANAM Vostok in Russia",Materials,Poland,
Kingston,Suspension,suspend shipments to Russia,Information Technology,United States,
KLM,Suspension,cancel flights to and from Russia,Industrials,Netherlands,
Kodak Alaris,Suspension,suspend all business activity into Russia & Belarus,Information Technology,United Kingdom,
Komatsu,Suspension,suspend all shipments to Russia,Industrials,Japan,
KONE,Suspension,suspend deliveries to Russia & stop new Russian orders,Industrials,Finland,
Konecranes,Suspension,stop all orders from Russia,Industrials,Finland,
Konica Minolta,Suspension,new shipments suspended,Consumer Discretionary,Japan,
Körber,Suspension,suspend new business with Russia,Industrials,Germany,
Korean Air Lines,Suspension,no flying over Russian airspace; Russian flights cancelled,Industrials,South Korea,
Korn Ferry,Suspension,suspend business in Russia,Industrials,United States,
Krombacher,Suspension,stopped exports to Russia,Consumer Staples,Germany,
Kubota,Suspension,cancel production of equipment orders from Russian,Industrials,Japan,
KUKA,Suspension,suspend all business with Russia,Industrials,Germany,
Kurokesu,Suspension,suspend shipments to Russia,Consumer Discretionary,Lithuania,
Kyocera,Suspension,suspend deliveries of all devices to Russia,Information Technology,Japan,
L'Oreal,Suspension,suspend operations in Russia,Consumer Discretionary,France,
La Lorraine,Suspension,halt its 50mn euro investment in Moscow,Consumer Staples,Belgium,
Lanxess,Suspension,suspend business activities with Russia,Materials,Germany,
LCBO,Suspension,suspend Russian-produced products,Consumer Staples,Canada,
Lego,Suspension,suspend all shipments to Russia,Consumer Discretionary,Denmark,
Leica Camera AG,Suspension,suspend operations in Russia,Information Technology,Germany,
Leonardo,Suspension,pause all JVs in Russia; helicopter production,Industrials,Italy,
Les Ballets de Monte-Carlo,Suspension,suspend performance rights for his ballet,Consumer Discretionary,Monaco,
Levi Strauss,Suspension,suspend all sales in Russia,Consumer Discretionary,United States,
Lexmark,Suspension,suspend shipments to Russia,Information Technology,United States,
LG Electronics,Suspension,suspend new product shipments to Russia,Information Technology,South Korea,
Little Caesar's,Suspension,suspend Russian franchise support,Consumer Discretionary,United States,
Live Nation Entertainment,Suspension,stop business with Russia,Communication Services,United States,
Lladró,Suspension,suspended service and shipment to Russia.  No new requests,Consumer Discretionary,Spain,
Louis Dreyfus,Suspension,suspend operations in Russia,Consumer Staples,Netherlands,
Lumen,Suspension,cut networks to Russia,Communication Services,United States,
LUSH,Suspension,suspend online sales & supply to Russia,Consumer Discretionary,United Kingdom,
M&G,Suspension,phased divestment of Russian assets,Financials,United Kingdom,
Maersk,Suspension,suspend all shipments to Russia,Industrials,Denmark,
Magna,Suspension,suspend Russian plants,Consumer Discretionary,Canada,
Magna Steyr,Suspension,suspend deliveries to Russia,Consumer Discretionary,Austria,
Mango,Suspension,suspend direct operations in Russia,Consumer Discretionary,Spain,
Manolo Blahnik,Suspension,suspend sales to Russia,Consumer Discretionary,United Kingdom,
Marks & Spencer,Suspension,suspend all shipments to Russia,Consumer Staples,United Kingdom,
Marriott,Suspension,suspend all Russian operations,Consumer Discretionary,United States,
Marvell,Suspension,suspend all sales to Russia in compliance with sanctions,Information Technology,United States,
Mastercard,Suspension,suspend operations in Russia,Information Technology,United States,
Mattel,Suspension,suspend shipments into Russia,Consumer Discretionary,United States,
Mazda,Suspension,suspend all shipments to Russia,Consumer Discretionary,Japan,
McCormick,Suspension,suspend operations in Russia,Consumer Staples,United States,
Meggit,Suspension,cease all imports and exports with Russia,Industrials,United Kingdom,
Meta,Suspension,suspend Russian advertising,Communication Services,United States,
Metsa,Suspension,suspend operations at Russian mill,Materials,Finland,
Metso Outotec,Suspension,suspend all shipments to Russia,Industrials,Finland,
Mettler Toledo,Suspension,suspend all shipments to Russia,Health Care,United States,
Michelin,Suspension,suspended all operations in Russia,Consumer Discretionary,France,
Micro Focus,Suspension,Suspended business in Russia,Information Technology,United Kingdom,
Micron,Suspension,Suspend shipments to Russia according to sanctions,Information Technology,United States,
Milk Hydrosan sp. z o.o.,Suspension,suspended Russian contracts,Industrials,Poland,
Mitsubishi Electric,Suspension,stop all sales to Russia but reserve the right to return,Industrials,Japan,
Mitsubishi Motors,Suspension,suspended operations at Russian plant,Consumer Discretionary,Japan,
Mobatime (Elekon),Suspension,stopped activity and remotely stopped clock on Russian Academy of Sciences,Consumer Discretionary,Czech Republic,
Moncler,Suspension,suspend operations in Russia,Consumer Discretionary,Italy,
Moneygram,Suspension,suspend all payments to Russia,Financials,United States,
MongoDB,Suspension,suspend sales to Russia and Belarus,Information Technology,United States,
Mothercare,Suspension,suspend operations in Russia,Consumer Discretionary,United Kingdom,
Motorola Solutions,Suspension,suspend service orders to Russia,Information Technology,United States,
MS & AD Insurance Group,Suspension,suspending operations,Financials,Japan,
MSC,Suspension,temporary suspension of all shipments to Russia,Financials,United States,
MSC Cruises,Suspension,suspend calls to Russia,Consumer Discretionary,Switzerland,
Munich Re,Suspension,not renew current contracts & suspend new business,Financials,Germany,
MV Group,Suspension,"suspends all imports and orders, froze partner brands",Consumer Staples,Lithuania,
MVRDV,Suspension,suspend operations in Russia,Industrials,Netherlands,
Namecheap,Suspension,stop offering products to Russia,Information Technology,United States,
NCR,Suspension,suspend sales to Russia,Information Technology,United States,
NEC,Suspension,suspend all future sales,Information Technology,Japan,
Nemak,Suspension,halt production in Russia,Consumer Discretionary,Mexico,
Neste Oyj,Suspension,suspend purchases of Russian oil,Energy,Finland,
NetApp,Suspension,suspend business operations in Russia,Information Technology,United States,
New Balance,Suspension,suspend shipments to Russia,Consumer Discretionary,United States,
New Development Bank,Suspension,curtail Russian access to capital markets,Financials,China,
NHL,Suspension,pause all partnerships in Russia,NGO,United States,
Niantic Labs,Suspension,products made unavailable in Russia,Information Technology,United States,
Nikon,Suspension,suspend shipments to Russia,Consumer Discretionary,Japan,
Nintendo,Suspension,suspend all sales in Russia,Communication Services,Japan,
Norton,Suspension,suspend sales to Russia,Information Technology,United States,
Nozbe,Suspension,cut off services for Russia and Belarus,Industrials,Poland,
NSG Group (Pilkington),Suspension,suspension all trading and investment,Materials,Japan,
Nu Skin,Suspension,suspend Russian operations,Consumer Staples,United States,
Nutanix,Suspension,pause all sales and support to Russia,Information Technology,United States,
Nvidia,Suspension,suspend all sales in Russia,Information Technology,United States,
NXP Semiconductors,Suspension,suspend all shipments to and business with Russia,Information Technology,Netherlands,
Olvi,Suspension,stop exports to Russia,Consumer Staples,Finland,
Olympus,Suspension,suspend sales of Scientific Solutions portfolio and all capital investments,Information Technology,Japan,
ON24,Suspension,suspend all Russian activities,Information Technology,United States,
OP Bank Lithuania,Suspension,temporarily stop the processing of all  payments from and to Russia & Belarus,Financials,Lithuania,
OpenText,Suspension,suspend all business,Information Technology,Canada,
Oracle,Suspension,suspend all operations in Russia,Information Technology,United States,
Outokumpu,Suspension,stop sales and deliveries to Russia,Materials,Finland,
PagerDuty,Suspension,suspend cooperation with Russian customers,Information Technology,United States,
Panasonic,Suspension,suspend operations in Russia,Consumer Discretionary,Japan,
Papa John's,Suspension,suspend support for all Russian franchises,Consumer Discretionary,United States,
Par Pacific,Suspension,suspend purchases of Russian crude oil,Energy,United States,
Paramount,Suspension,pause new content releases to Russia,Communication Services,United States,
Payoneer,Suspension,close Russian accounts,Information Technology,United States,
Paypal,Suspension,suspend operations in Russia,Information Technology,United States,
Peak Design,Suspension,shut down sales to Russia,Consumer Staples,United States,
Pekao SA,Suspension,transactions in Russian ruble suspended,Financials,Poland,
Pernod Ricard,Suspension,pause exports to Russia,Consumer Staples,France,
Pivovary Staropramen,Suspension,suspended beer exports,Consumer Staples,Czech Republic,
Playmobil,Suspension,stop all sales to Russia,Consumer Discretionary,Germany,
Plzeňský Prazdroj,Suspension,suspend sales to Russia,Consumer Staples,Czech Republic,
Podravka,Suspension,stop deliveries to Russia,Consumer Staples,Croatia,
Polaris,Suspension,suspend exports to Russia,Consumer Discretionary,United States,
Porsche,Suspension,end shipments of new cars; dealerships running and warranty obligations honored,Consumer Discretionary,Germany,
Prada,Suspension,suspend operations in Russia,Consumer Discretionary,Italy,
Preem AB,Suspension,suspend purchases of Russian oil,Energy,Sweden,
Prosus,Suspension,In process of divesting from local subsidiary,Industrials,Netherlands,
PTC,Suspension,discontinue all business operations and sales,Information Technology,United States,
Puma,Suspension,suspend all shipments to Russia,Consumer Discretionary,Germany,
PVH,Suspension,suspend operations in Russia,Consumer Discretionary,United States,
Qlik,Suspension,suspend sales and services to Russia,Information Technology,Sweden,
QS,Suspension,cease activity with Russian customers & cease promotion of Russian universities,NGO,United Kingdom,
Qualcomm,Suspension,suspend shipments to Russia,Information Technology,United States,
Rabobank,Suspension,curtail Russian access to capital markets,Financials,Netherlands,
Radio Free Europe,Suspension,suspend operations in Russia,Communication Services,Czech Republic,
Rakovnický Pivovar,Suspension,stopped exports and withdrew some products for sale in Russia,Consumer Staples,Czech Republic,
Ralph Lauren,Suspension,pause operations in Russia,Consumer Discretionary,United States,
Raytheon,Suspension,suspend operations in Russia,Industrials,United States,
Recruit Holdings,Suspension,Suspend Russian access,Industrials,Japan,
Reima,Suspension,suspend all sales into Russia,Consumer Discretionary,Finland,
Remitly Global,Suspension,stop accepting new users in Russia,Information Technology,United States,
Renishaw,Suspension,Suspended business in Russia,Industrials,United Kingdom,
Revolut,Suspension,stop top-ups for Russian cards and block transfers to Russian institutions,Financials,United Kingdom,
Richemont,Suspension,suspend all operations in Russia,Consumer Discretionary,Switzerland,
Ricoh,Suspension,suspend shipments to Russia,Information Technology,Japan,
Roca,Suspension,closure of plants,Consumer Discretionary,Spain,
Rockwell Automation,Suspension,suspend operations in Russia,Industrials,United States,
Roland DG,Suspension,suspend all exports and sales to Russia,Information Technology,Japan,
Rolex,Suspension,suspend exports to Russia,Consumer Discretionary,Switzerland,
Rolls Royce,Suspension,suspend all shipments to Russia,Industrials,United Kingdom,
Rotork,Suspension,Suspended business in Russia,Industrials,United Kingdom,
Rovio,Suspension,remove games from app stores in Russia,Information Technology,Finland,
Royal Caribbean Cruises,Suspension,Cancel summer cruise ship visits to Russia,Consumer Discretionary,United States,
Royal Society of Chemistry,Suspension,pause activities with Russian institutions,NGO,United Kingdom,
RTB,Suspension,Suspended business in Russia,Industrials,United States,
Safran,Suspension,stop all activities in Russia,Industrials,France,
Samsonite International,Suspension,suspend operations in Russia,Consumer Discretionary,Luxembourg,
Samsung,Suspension,suspend all shipments to Russia,Information Technology,South Korea,
Sandvik,Suspension,suspend all operations in Russia,Industrials,Sweden,
Sardina,Suspension,suspend deliveries to Russia,Consumer Staples,Croatia,
Scandinavian Tobacco,Suspension,suspend most operations in Russia,Consumer Staples,Denmark,
Scania,Suspension,suspend all sales in Russia,Industrials,Sweden,
Schwarz Group,Suspension,stop sales of Russian products in stores,Consumer Staples,Germany,
Sennheiser,Suspension,suspend all business & stop exports,Information Technology,Germany,
